130,1142,4,874953595
458,753,4,886397110
757,217,3,888467381
910,182,4,880821696
724,748,1,883757784
62,174,4,879374916
796,692,5,892761544
455,289,3,892230574
551,88,4,892783314
540,274,4,882157662
659,611,4,891384606
399,1393,3,882340421
128,174,3,879966954
715,31,4,875963692
524,174,4,884634911
655,739,4,891585450
213,98,5,878955598
136,283,4,882693529
457,151,5,882394010
125,401,4,892838656
390,329,3,879693608
435,845,3,884132100
487,174,5,883446404
275,162,3,880315276
862,56,3,879305204
362,1025,2,885019746
653,941,1,880153040
531,259,1,887048789
404,245,3,883790401
2,273,4,888551647
537,91,2,886031438
716,387,4,879797391
38,326,5,892428688
363,631,1,891497440
672,15,3,879787922
620,596,2,889987954
637,922,1,882902487
896,380,2,887159748
338,216,4,879438196
880,570,3,880167965
854,8,5,882814571
838,172,5,887066143
804,71,4,879442538
561,1069,4,885808053
276,1141,3,874790773
534,291,4,877808031
268,399,3,875743656
577,472,4,880470570
216,82,4,880244446
924,519,4,886759888
831,326,4,891354275
95,781,2,880572495
222,1336,2,877563998
870,210,4,879270313
885,173,4,885713357
899,31,3,884121513
601,141,4,876350443
275,473,3,880313679
116,307,3,879864042
292,748,3,877718776
688,307,4,884153505
328,71,4,885048004
831,687,2,891354424
529,301,4,882535639
537,697,2,886031966
552,127,4,879221580
295,65,5,879517655
667,461,4,891034913
883,785,3,891694372
207,96,3,877847025
417,323,3,879646820
18,654,4,880130110
267,188,5,878971745
387,569,2,886481737
26,293,3,891371369
588,658,5,890025751
844,82,3,877387857
565,207,4,891037393
72,461,3,880036824
10,185,5,877888876
405,778,1,885546248
49,1074,2,888069165
751,405,3,889298528
738,568,3,875350485
510,326,4,887667751
320,421,4,884750968
751,89,3,889132966
655,312,2,892011201
943,210,4,888639147
178,1038,2,882823566
92,566,4,875658112
684,8,5,878761120
472,318,5,892791017
693,636,1,875483473
514,172,4,875462726
715,42,5,875963112
541,812,3,883874872
417,748,4,879646785
529,322,4,882535383
363,657,5,891494587
774,553,2,888556867
488,82,4,891294942
478,843,5,889397582
511,887,5,890004747
48,524,3,879434723
547,321,4,891282732
59,9,4,888203053
807,96,3,892528564
95,58,3,879197834
178,744,3,882824028
805,212,3,881696729
807,91,5,892684675
936,1344,5,886832183
405,715,1,885546445
647,405,4,876532747
826,432,3,885690379
566,163,5,881649622
509,289,2,883590972
13,205,2,881515193
883,1227,3,891693200
561,173,4,885807393
345,318,5,884916354
416,122,3,886315885
612,604,4,875325256
747,526,5,888639642
671,510,3,884035892
646,272,4,888528483
385,50,1,879440127
545,391,2,883115552
294,1079,2,889242624
686,430,4,879546786
35,327,3,875459017
592,654,5,882955703
515,289,1,887660131
159,880,1,893256084
188,498,5,875073828
74,258,4,888333194
409,1512,5,881106947
395,252,3,883765897
805,595,3,881695951
7,470,3,891352489
660,17,1,891265453
92,250,4,890251534
416,1041,3,886319408
60,227,4,883326784
506,70,4,874874055
708,742,1,892719385
514,210,5,876067462
796,272,4,892610692
532,2,5,893119336
269,479,4,891448980
293,28,3,888906071
755,938,3,882570023
54,340,4,890608225
16,469,3,877720916
64,87,4,889737851
166,984,5,886397802
49,1067,3,888068842
903,318,5,891032793
823,274,4,878439038
630,1061,2,885667581
126,681,5,887938392
694,1126,5,875727449
389,64,4,880087151
500,50,3,883864992
833,121,1,875133458
450,373,3,887834953
911,26,4,892840048
601,58,1,876350400
756,53,3,874830432
717,866,1,884642932
13,706,1,882396869
655,1134,3,887611594
442,591,3,883391221
